city,lat,lon
Москва,55.755864,37.617698
Санкт-Петербург,59.938784,30.314997
Екатеринбург,56.837435,60.597636
Казань,55.796127,49.106414
Уфа,54.735152,55.958736
Новосибирск,55.030204,82.92043
Краснодар,45.03547,38.975313
Красноярск,56.010543,92.852581
Пермь,58.010455,56.229443
Симферополь,44.948237,34.100327
Тюмень,57.152985,65.541227
Самара,53.195878,50.100202
Одинцово,55.679138,37.263663
Владивосток,43.115542,131.885494
Калуга,54.513678,36.261341
Челябинск,55.159902,61.402554
Южно-Сахалинск,46.957771,142.729587
Грозный,43.318366,45.692421
Химки,55.889361,37.444853
Ростов-на-Дону,47.222109,39.718813
Благовещенск,50.257456,127.534611
Воронеж,51.660781,39.200296
Нижний Новгород,56.326797,44.006516
Ялта,44.497415,34.169506
Волгоград,48.707067,44.516975
Саратов,51.533338,46.034176
Чебоксары,56.139918,47.247728
Ульяновск,54.318598,48.405773
Ярославль,57.626559,39.893813
Пушкино,56.011318,37.847164
Красногорск,55.820369,37.319484
Иркутск,52.289588,104.280606
Якутск,62.027221,129.732178
Липецк,52.608826,39.599229
Хабаровск,48.480229,135.071917
Балашиха,55.797007,37.938118
Сочи,43.585472,39.723098
Тверь,56.858745,35.917421
Белгород,50.595414,36.587277
Йошкар-Ола,56.6316,47.886178
Вологда,59.220501,39.891523
Шушары,59.807224,30.379523
Мытищи,55.909968,37.736743
Сургут,61.241778,73.393032
Домодедово,55.437174,37.768004
Люберцы,55.676748,37.893328
Калининград,54.710162,20.510137
Жуковский,55.59748,38.119811
Барнаул,53.346785,83.776856
Ижевск,56.852755,53.207017
Набережные Челны,55.741272,52.403662
Пятигорск,44.039815,43.070427
Чита,52.033635,113.501049
Магнитогорск,53.407163,58.980291
Орск,51.2293,58.474675
Разумное,50.533631,36.689568
Тула,54.193122,37.617348
Губкинский,64.432625,76.500503
Оренбург,51.768205,55.097
Кондрово,54.807435,35.926647
Белореченск,44.766017,39.86849
Нижний Тагил,57.907562,59.971474
Рязань,54.629221,39.737111
Совхоз им. Ленина,55.584461,37.735422
Остапово,52.266225,35.439535
Бугры,60.068722,30.393806
Киров,58.603595,49.668023
Томск,56.484645,84.947649
Богатые Сабы,56.008269,50.443484
Малаховка,55.64258,38.009373
Гаврилково,55.879581,37.37041
Ангарск,52.544358,103.888249
Курган,55.441004,65.341118
Тарко-Сале,64.911823,77.761055
Цивильск,55.864899,47.465309
Наро-Фоминск,55.383838,36.72285
Чехов,55.14235,37.454357
Русское,39.738671,64.193664
Энгельс,51.50105,46.124052
Благословенка,51.714935,55.316477
Севастополь,44.61602,33.524471
Россошь,50.198256,39.562632
Тольятти,53.507852,49.420411
Брянск,53.2434,34.363991
Анапа,44.894269,37.316906
Нальчик,43.485259,43.607081
Незнамово,51.264842,37.925641
Находка,42.824043,132.89282
Саранск,54.187433,45.183938
Арск,56.091316,49.876998
Шатки,55.188041,44.127987
Горный Щит,56.689398,60.519662
Медведево,56.633313,47.803453
Старый Оскол,51.297974,37.833231
Усинск,65.994148,57.55701
Ноябрьск,63.201805,75.450938
Московский,55.602149,37.346551
Волгодонск,47.519624,42.206329
Подольск,55.431136,37.544997
Парголово,60.082458,30.26417
Тобольск,58.200891,68.253995
Березовка,53.719404,25.498248
Новый Уренгой,66.084539,76.680956
Каменск-Шахтинский,48.323133,40.269534
Стрежевой,60.732867,77.604011
Невское,54.73811,20.563524
Тлюстенхабль,44.982209,39.096568
Новоуральск,57.247235,60.095613
Гудермес,43.352037,46.102906
Северодвинск,64.563386,39.823781
Дзержинский,55.630944,37.849616
Череповец,59.122672,37.903443
Вольно-Надеждинское,43.37094,131.993049
Волжский,48.786127,44.751229
Кемерово,55.355198,86.086847
Геленджик,44.561012,38.077115
Кострома,57.767918,40.926894
Петрозаводск,61.785021,34.346878
Махачкала,42.9831,47.504745
Хмели,57.946225,56.077215
Оха,53.588974,142.949163
Холмск,47.040819,142.042017
Владикавказ,43.024616,44.681771
Клин,56.331588,36.728725
Ханты-Мансийск,61.003184,69.018911
Михайловка,50.07938,43.23445
Кызыл,51.71989,94.43799
Омск,54.989347,73.368221
Индустриальный,45.602069,38.999415
Салехард,66.529866,66.614507
Великий Новгород,58.522857,31.269816
Новочебоксарск,56.108738,47.476807
Когалым,62.264069,74.482761
Смирных,49.742866,142.831358
Смоленск,54.778263,32.051054
Семилуки,51.69463,39.020211
Знаменка,48.71306,32.690439
